	SRR1770793	SRR1770794	SRR1770797	SRR1770798	SRR1770804	SRR1770805	SRR1770806	SRR1770809	SRR1770812	SRR1770815	SRR1770818	SRR1770820
SRR1770793	0.0	0.6972909305064782	0.678343949044586	0.6916488222698073	0.7058189655172413	0.7592137592137592	0.971756398940865	0.9653233364573571	0.9650238473767886	0.9726261762189906	0.9884341637010676	0.9931350114416476
SRR1770794	0.6972909305064782	0.0	0.7147727272727272	0.6933962264150944	0.7013142174432497	0.7433380084151473	0.9726295210166178	0.9644351464435147	0.9678540399652477	0.9735599622285175	0.9881305637982196	0.9907949790794979
SRR1770797	0.678343949044586	0.7147727272727272	0.0	0.694240837696335	0.6929637526652452	0.7469733656174334	0.9714779602420052	0.9708295350957156	0.9689199689199689	0.9757727652464494	0.9895652173913043	0.9894815927873779
SRR1770798	0.6916488222698073	0.6933962264150944	0.694240837696335	0.0	0.698051948051948	0.7381546134663342	0.9736147757255936	0.9673202614379085	0.9691699604743083	0.9805084745762712	0.9884547069271759	0.9916094584286804
SRR1770804	0.7058189655172413	0.7013142174432497	0.6929637526652452	0.698051948051948	0.0	0.7550251256281407	0.9731182795698925	0.9705882352941176	0.9628132578819725	0.9775086505190311	0.9909747292418772	0.9945904173106646
SRR1770805	0.7592137592137592	0.7433380084151473	0.7469733656174334	0.7381546134663342	0.7550251256281407	0.0	0.9786096256684492	0.9735935706084959	0.9717514124293786	0.9794026776519053	0.9923913043478261	0.9918256130790191
SRR1770806	0.971756398940865	0.9726295210166178	0.9714779602420052	0.9736147757255936	0.9731182795698925	0.9786096256684492	0.0	0.8497807017543859	0.8632634457611669	0.9033492822966507	0.9675572519083969	0.9814814814814815
SRR1770809	0.9653233364573571	0.9644351464435147	0.9708295350957156	0.9673202614379085	0.9705882352941176	0.9735935706084959	0.8497807017543859	0.0	0.8303747534516766	0.895112016293279	0.9538934426229508	0.9761904761904762
SRR1770812	0.9650238473767886	0.9678540399652477	0.9689199689199689	0.9691699604743083	0.9628132578819725	0.9717514124293786	0.8632634457611669	0.8303747534516766	0.0	0.865605658709107	0.9500430663221361	0.9758948137326515
SRR1770815	0.9726261762189906	0.9735599622285175	0.9757727652464494	0.9805084745762712	0.9775086505190311	0.9794026776519053	0.9033492822966507	0.895112016293279	0.865605658709107	0.0	0.9301435406698565	0.9723538704581358
SRR1770818	0.9884341637010676	0.9881305637982196	0.9895652173913043	0.9884547069271759	0.9909747292418772	0.9923913043478261	0.9675572519083969	0.9538934426229508	0.9500430663221361	0.9301435406698565	0.0	0.9391080617495712
SRR1770820	0.9931350114416476	0.9907949790794979	0.9894815927873779	0.9916094584286804	0.9945904173106646	0.9918256130790191	0.9814814814814815	0.9761904761904762	0.9758948137326515	0.9723538704581358	0.9391080617495712	0.0
